Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	GSM_SS	
1354384191	815.77	1395.75	1357	1600	16000	1.646	4.495	15	15	
1354384243	1017.74	1414.71	1357	1600	16000	1.918	4.957	15	14	
1354384291	906.57	1403.12	1357	1600	16000	1.801	4.329	15	15	
1354384338	915.45	1116.60	1357	1600	16000	1.856	3.328	15	16	
1354384386	991.76	1330.33	1357	1600	16000	1.812	4.411	15	14	
1354384439	934.76	934.98	1357	1600	16000	1.914	3.856	15	14	
1354384486	982.98	1402.53	1357	1600	16000	1.818	4.664	15	16	
1354384532	1011.36	1381.18	1357	1600	16000	2.056	4.225	15	13	
1354384578	986.44	1795.80	1357	1600	16000	1.902	5.229	15	16	
1354384626	953.42	1115.92	1357	1600	16000	1.716	3.861	15	14	
