Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351886098231	1.9267	2.6255	0.5	500	50
1351886098731	1.7245	2.8554	0.5	500	50
1351886099257	1.7959	2.6242	0.5	500	50
1351886099771	1.7378	2.6259	0.5	500	50
1351886100411	1.0363	2.6222	0.5	500	50
1351886100970	1.6799	2.6226	0.5	500	50
1351886101530	1.6743	2.6292	0.5	500	50
1351886102048	1.6946	2.6229	0.5	500	50
1351886102589	1.9462	2.6263	0.5	500	50
1351886103092	1.4976	2.8525	0.5	500	50
1351886103617	1.6868	2.3767	0.5	500	50
1351886104179	1.6829	2.6247	0.5	500	50
1351886104762	1.6821	2.6280	0.5	500	50
1351886105290	1.7793	2.6284	0.5	500	50
1351886105810	1.6730	2.6263	0.5	500	50
1351886106409	1.6981	2.6233	0.5	500	50
1351886106921	1.8999	2.6343	0.5	500	50
1351886107450	1.8879	2.6233	0.5	500	50
1351886108011	1.8053	2.5931	0.5	500	50
1351886108539	1.6363	2.6269	0.5	500	50
1351886109086	1.5826	2.8986	0.5	500	50
1351886109651	1.6433	2.6254	0.5	500	50
1351886110191	1.6873	2.6266	0.5	500	50
1351886110732	1.7949	2.8537	0.5	500	50
1351886111251	1.7811	2.5563	0.5	500	50
1351886111763	1.8102	2.3741	0.5	500	50
1351886112275	1.7938	2.6253	0.5	500	50
1351886112829	1.8334	2.0826	0.5	500	50
1351886113373	1.7968	2.6235	0.5	500	50
1351886113912	1.8087	2.6271	0.5	500	50
1351886114514	1.5949	2.6293	0.5	500	50
1351886115201	1.7106	2.6245	0.5	500	50
1351886115818	1.7875	2.3760	0.5	500	50
1351886116422	1.7797	2.6238	0.5	500	50
1351886116999	1.6612	2.6262	0.5	500	50
1351886117636	1.7124	2.6244	0.5	500	50
1351886118202	1.7341	2.9442	0.5	500	50
1351886118762	1.8072	2.6272	0.5	500	50
1351886119363	1.6011	2.3786	0.5	500	50
1351886119959	1.5754	2.5751	0.5	500	50
1351886120555	1.6986	2.6207	0.5	500	50
1351886121090	1.5864	2.5605	0.5	500	50
1351886121652	1.6629	2.3760	0.5	500	50
1351886122412	1.5883	2.9277	0.5	500	50
