Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351881109396	1.4100	3.6389	200000	500	50
1351881109963	1.5366	3.1723	200000	500	50
1351881110512	2.2710	3.1688	200000	500	50
1351881111085	1.4366	3.2881	200000	500	50
1351881111647	2.0748	2.9429	200000	500	50
1351881112234	2.0867	3.1693	200000	500	50
1351881112831	2.2742	2.8156	200000	500	50
1351881113407	2.1322	3.2832	200000	500	50
1351881113962	1.5891	3.1854	200000	500	50
1351881114523	2.1623	2.9383	200000	500	50
1351881115068	2.3086	3.1696	200000	500	50
1351881115638	2.1638	3.1704	200000	500	50
1351881116208	1.4817	3.2869	200000	500	50
1351881116800	1.3559	3.4435	200000	500	50
1351881117359	2.2710	3.2802	200000	500	50
1351881117921	1.9021	3.1750	200000	500	50
1351881118490	2.0934	3.2751	200000	500	50
1351881119079	2.1034	2.5298	200000	500	50
1351881119606	2.1489	3.3294	200000	500	50
1351881120242	2.0650	3.1750	200000	500	50
1351881120851	1.5334	2.7020	200000	500	50
1351881121425	2.0425	2.7030	200000	500	50
1351881121967	2.0450	2.8162	200000	500	50
1351881122501	2.0847	3.4496	200000	500	50
1351881123034	2.2900	3.9915	200000	500	50
1351881123607	1.4561	3.2780	200000	500	50
1351881124223	1.5108	3.3330	200000	500	50
1351881124745	2.2821	3.4514	200000	500	50
1351881125307	2.3005	3.1753	200000	500	50
1351881125858	2.1717	3.1687	200000	500	50
1351881126405	2.2531	3.6342	200000	500	50
1351881126996	1.4226	2.9397	200000	500	50
1351881127552	2.0502	3.1751	200000	500	50
1351881128102	2.2804	3.5622	200000	500	50
1351881128686	1.4658	3.1822	200000	500	50
1351881129263	1.5467	3.6425	200000	500	50
1351881129815	2.2608	3.1714	200000	500	50
1351881130395	1.6177	3.4475	200000	500	50
1351881130966	2.0093	3.1735	200000	500	50
1351881131541	2.0598	3.2660	200000	500	50
1351881132078	2.2515	3.4485	200000	500	50
1351881132627	1.9833	3.4460	200000	500	50
1351881133206	1.6126	3.4442	200000	500	50
1351881133792	1.1322	3.6368	200000	500	50
1351881134371	2.1405	3.1771	200000	500	50
1351881134933	1.9832	3.4301	200000	500	50
1351881135511	1.4360	3.1740	200000	500	50
1351881136182	0.8840	2.8570	200000	500	50
1351881136754	2.5334	3.0271	200000	500	50
1351881137315	1.4282	2.9375	200000	500	50
1351881137836	2.2422	3.6421	200000	500	50
1351881138393	1.3746	3.2769	200000	500	50
1351881138972	1.5069	3.4492	200000	500	50
1351881139543	1.4525	3.1739	200000	500	50
1351881140095	1.7182	3.6258	200000	500	50
1351881140577	2.6685	3.4533	200000	500	50
1351881141133	2.3695	3.4397	200000	500	50
1351881141696	1.4058	2.9448	200000	500	50
1351881142240	1.4401	2.9431	200000	500	50
1351881142758	2.4482	3.4490	200000	500	50
1351881143357	1.3278	3.0349	200000	500	50
1351881143944	2.1136	3.0763	200000	500	50
1351881144568	2.4229	2.9374	200000	500	50
1351881145230	1.3812	3.1684	200000	500	50
1351881145791	2.0305	3.4412	200000	500	50
1351881146397	1.8304	3.1771	200000	500	50
1351881147008	2.0155	3.3286	200000	500	50
1351881147604	1.4483	2.9389	200000	500	50
1351881148173	2.3053	3.0206	200000	500	50
1351881148752	1.9601	3.2704	200000	500	50
1351881149356	1.3065	2.9346	200000	500	50
